       X(m)            Y(m)              Y(m)         
   -1132914.8013    6092529.0451    1504632.8969
   -1132914.8132    6092529.0865    1504632.8691
   -1132914.8389    6092529.1844    1504632.8146
   -1132914.8385    6092529.1827    1504632.8317
   -1132914.8047    6092529.0585    1504632.9156
   -1132914.8016    6092529.0300    1504632.9309
   -1132914.7993    6092528.9756    1504632.9555
   -1132914.8328    6092529.1138    1504632.8515
   -1132914.8169    6092529.0377    1504632.9171
   -1132914.8220    6092529.0276    1504632.9335
   -1132914.8341    6092529.0703    1504632.9143
   -1132914.8399    6092529.0777    1504632.9077
   -1132914.8388    6092529.0749    1504632.9270
   -1132914.8446    6092529.0939    1504632.9210
   -1132914.8448    6092529.1115    1504632.9115
   -1132914.8469    6092529.0699    1504632.9203
   -1132914.8442    6092529.0965    1504632.9191
   -1132914.8534    6092529.0936    1504632.9309
   -1132914.8453    6092529.0964    1504632.9359
   -1132914.8443    6092529.0956    1504632.9394
   -1132914.8395    6092529.1072    1504632.9367
   -1132914.8476    6092529.1156    1504632.9454
   -1132914.8520    6092529.1145    1504632.9454
   -1132914.8529    6092529.1147    1504632.9532
   -1132914.8578    6092529.1140    1504632.9537
   -1132914.8600    6092529.1240    1504632.9535
   -1132914.8692    6092529.1268    1504632.9471
   -1132914.8768    6092529.1101    1504632.9489
   -1132914.8837    6092529.1091    1504632.9643
   -1132914.8845    6092529.0948    1504632.9715
   -1132914.8890    6092529.0942    1504632.9702
   -1132914.8888    6092529.0861    1504632.9713
   -1132914.8885    6092529.1110    1504632.9668
   -1132914.8829    6092529.0818    1504632.9718
   -1132914.8859    6092529.0909    1504632.9831
   -1132914.8758    6092529.0833    1504632.9875
   -1132914.8840    6092529.0870    1504632.9988
   -1132914.8839    6092529.1054    1504632.9993
   -1132914.8797    6092529.1053    1504633.0003
   -1132914.8865    6092529.0990    1504633.0109
   -1132914.8871    6092529.1038    1504633.0127
   -1132914.8921    6092529.1067    1504633.0185
   -1132914.8929    6092529.1033    1504633.0217
   -1132914.8822    6092529.0928    1504633.0186
   -1132914.8805    6092529.0933    1504633.0293
   -1132914.8734    6092529.0776    1504633.0199
   -1132914.8773    6092529.0735    1504633.0225
   -1132914.8796    6092529.0746    1504633.0257
   -1132914.4227    6092528.4216    1504633.0572
   -1132914.4445    6092528.4378    1504633.0597
   -1132914.4714    6092528.4848    1504633.0479
   -1132914.5164    6092528.5156    1504633.0350
   -1132914.5929    6092528.6093    1504633.0231
   -1132914.6980    6092528.7113    1504633.0246
   -1132914.7109    6092528.7070    1504633.0259
   -1132914.7393    6092528.7254    1504633.0120
   -1132914.7722    6092528.7594    1504633.0016
   -1132914.7874    6092528.7679    1504632.9846
   -1132914.7905    6092528.7666    1504632.9791
   -1132914.8130    6092528.7727    1504632.9677
   -1132914.8268    6092528.7712    1504632.9476
   -1132914.8306    6092528.7485    1504632.9340
   -1132914.8410    6092528.7433    1504632.9198
   -1132914.8554    6092528.7383    1504632.8920
   -1132914.8509    6092528.6999    1504632.8708
   -1132914.8594    6092528.6746    1504632.8512
   -1132914.8645    6092528.6515    1504632.8304
   -1132914.8650    6092528.5874    1504632.8124
   -1132914.8596    6092528.5435    1504632.7844
   -1132914.8376    6092528.4716    1504632.7522
   -1132914.8422    6092528.4047    1504632.7165
   -1132914.8362    6092528.3324    1504632.6806
   -1132914.8201    6092528.2429    1504632.6440
   -1132914.8420    6092528.1783    1504632.5865
   -1132914.9219    6092528.6421    1504632.9435
   -1132914.9363    6092528.6231    1504632.9439
   -1132914.9426    6092528.6030    1504632.9404
   -1132914.9531    6092528.5723    1504632.9453
   -1132914.9671    6092528.5486    1504632.9486
   -1132914.9856    6092528.5352    1504632.9515
   -1132915.0028    6092528.5299    1504632.9540
   -1132915.0159    6092528.4805    1504632.9614
