       X(m)            Y(m)              Y(m)         
   -1132915.5743    6092530.1458    1504633.5066
   -1132915.5675    6092530.1597    1504633.4928
   -1132915.5740    6092530.1664    1504633.4914
   -1132915.5644    6092530.1724    1504633.4842
   -1132915.5760    6092530.1890    1504633.4619
   -1132915.4349    6092529.8731    1504633.3466
   -1132915.4388    6092529.8823    1504633.3366
   -1132915.4326    6092529.9130    1504633.3494
   -1132915.4318    6092529.9323    1504633.3431
   -1132915.4694    6092530.2301    1504633.6164
   -1132915.4657    6092530.2272    1504633.6069
   -1132915.4575    6092530.2268    1504633.5826
   -1132915.4650    6092530.1824    1504633.5364
   -1132915.4707    6092530.2088    1504633.5248
   -1132915.4767    6092530.1822    1504633.4934
   -1132915.4788    6092530.1943    1504633.4806
   -1132915.4832    6092530.2322    1504633.4734
   -1132915.4697    6092530.2108    1504633.4467
   -1132915.4752    6092530.2338    1504633.4403
   -1132915.4632    6092530.2440    1504633.4212
   -1132915.4516    6092530.2260    1504633.4117
   -1132915.4416    6092530.2178    1504633.4157
   -1132915.4025    6092530.1363    1504633.3129
   -1132915.4110    6092530.1244    1504633.2818
   -1132915.4083    6092530.1301    1504633.2710
   -1132915.4720    6092530.2501    1504633.4582
   -1132915.3985    6092530.1050    1504633.2556
   -1132915.4104    6092530.1556    1504633.3031
   -1132915.4403    6092530.1947    1504633.3950
   -1132915.4207    6092530.1869    1504633.3485
   -1132915.4220    6092530.2027    1504633.3746
   -1132915.4281    6092530.2061    1504633.3845
   -1132915.4222    6092530.2052    1504633.3565
   -1132915.4181    6092530.2044    1504633.3580
   -1132915.4280    6092530.2311    1504633.3764
   -1132915.4188    6092530.2122    1504633.3359
   -1132915.4244    6092530.2167    1504633.3401
   -1132915.4429    6092530.2658    1504633.3863
   -1132915.4269    6092530.2519    1504633.3523
   -1132915.4284    6092530.2646    1504633.3565
   -1132915.4463    6092530.2867    1504633.3807
   -1132915.4315    6092530.2761    1504633.3470
   -1132915.4382    6092530.2680    1504633.3526
   -1132915.3274    6092530.2001    1504633.2129
   -1132915.3090    6092530.1704    1504633.1845
   -1132915.3225    6092530.1679    1504633.1874
   -1132915.3263    6092530.1759    1504633.2029
   -1132915.2847    6092530.1451    1504633.1625
   -1132915.4704    6092530.3177    1504633.4177
   -1132915.4344    6092530.2709    1504633.3546
   -1132915.3302    6092530.1970    1504633.2321
   -1132915.3996    6092530.2460    1504633.3176
   -1132915.4119    6092530.2674    1504633.3431
   -1132915.3977    6092530.2588    1504633.3307
   -1132915.3821    6092530.2702    1504633.3186
   -1132915.3821    6092530.2738    1504633.3255
   -1132915.3348    6092530.2516    1504633.2910
   -1132915.3454    6092530.2672    1504633.2968
   -1132915.3572    6092530.2859    1504633.3192
   -1132915.3410    6092530.2714    1504633.2971
   -1132915.3417    6092530.2743    1504633.3010
   -1132915.3228    6092530.2714    1504633.2867
   -1132915.3042    6092530.2757    1504633.2635
   -1132915.3117    6092530.2855    1504633.2753
   -1132915.2927    6092530.2642    1504633.2618
   -1132915.2933    6092530.2609    1504633.2784
   -1132915.2585    6092530.1845    1504633.1851
   -1132915.2627    6092530.2024    1504633.1989
   -1132915.1939    6092530.0197    1504632.9941
   -1132915.2537    6092530.2159    1504633.2053
   -1132915.2519    6092530.1727    1504633.1721
   -1132915.3108    6092530.3529    1504633.3846
   -1132915.3107    6092530.3842    1504633.4158
   -1132915.2922    6092530.3244    1504633.3449
   -1132915.2680    6092530.2646    1504633.2755
   -1132915.2827    6092530.3059    1504633.3117
   -1132915.3334    6092530.4053    1504633.4348
   -1132915.3418    6092530.4148    1504633.4705
   -1132915.3694    6092530.4496    1504633.5339
   -1132915.2871    6092530.2238    1504633.2762
   -1132915.3403    6092530.3670    1504633.4328
   -1132915.3447    6092530.3693    1504633.4551
   -1132915.3269    6092530.3185    1504633.3974
   -1132915.3113    6092530.2638    1504633.3648
   -1132915.3249    6092530.2985    1504633.4011
   -1132915.3089    6092530.2785    1504633.3777
   -1132915.2962    6092530.2618    1504633.3551
   -1132915.3088    6092530.2669    1504633.3831
   -1132915.2931    6092530.2651    1504633.3676
   -1132915.3072    6092530.2785    1504633.3860
   -1132915.3028    6092530.2877    1504633.3950
   -1132915.3031    6092530.2739    1504633.3932
   -1132915.2953    6092530.2886    1504633.3891
   -1132915.2852    6092530.2636    1504633.3824
   -1132915.2856    6092530.2583    1504633.3807
   -1132915.2863    6092530.2636    1504633.3865
   -1132915.2941    6092530.2639    1504633.3858
   -1132915.2842    6092530.2572    1504633.3765
   -1132915.2889    6092530.2486    1504633.3672
   -1132915.2934    6092530.2368    1504633.3667
   -1132915.3050    6092530.2607    1504633.3935
   -1132915.3085    6092530.2583    1504633.4074
   -1132915.3190    6092530.2681    1504633.4103
   -1132915.3122    6092530.2468    1504633.4039
   -1132915.3048    6092530.2565    1504633.3949
   -1132915.3050    6092530.2454    1504633.4070
   -1132915.3108    6092530.2578    1504633.4226
   -1132915.3141    6092530.2778    1504633.4382
   -1132915.3178    6092530.2775    1504633.4483
   -1132915.3140    6092530.2844    1504633.4432
   -1132915.3099    6092530.2783    1504633.4428
   -1132915.3214    6092530.2846    1504633.4579
   -1132915.3160    6092530.2827    1504633.4595
   -1132915.3132    6092530.2641    1504633.4580
   -1132915.3202    6092530.2720    1504633.4693
   -1132915.3139    6092530.2624    1504633.4689
   -1132915.3223    6092530.2723    1504633.4862
   -1132915.3120    6092530.2540    1504633.4774
   -1132915.3139    6092530.2434    1504633.4785
   -1132915.3158    6092530.2424    1504633.4773
   -1132914.8150    6092529.4057    1504633.6325
   -1132914.8303    6092529.4173    1504633.6298
   -1132914.8441    6092529.4560    1504633.6083
   -1132914.8805    6092529.4928    1504633.5980
   -1132914.9425    6092529.5796    1504633.5785
   -1132915.0250    6092529.6672    1504633.5790
   -1132915.0345    6092529.6695    1504633.5844
   -1132915.0612    6092529.6953    1504633.5781
   -1132915.0849    6092529.7225    1504633.5620
   -1132915.0960    6092529.7417    1504633.5495
   -1132915.0962    6092529.7440    1504633.5461
   -1132915.1069    6092529.7442    1504633.5313
   -1132915.1161    6092529.7439    1504633.5117
   -1132915.1235    6092529.7357    1504633.5073
   -1132915.1300    6092529.7346    1504633.4967
   -1132915.1392    6092529.7330    1504633.4725
   -1132915.1377    6092529.7117    1504633.4619
   -1132915.1436    6092529.7065    1504633.4545
   -1132915.1521    6092529.6996    1504633.4478
   -1132915.1584    6092529.6753    1504633.4538
   -1132915.1503    6092529.6410    1504633.4305
   -1132915.1407    6092529.6096    1504633.4265
   -1132915.1504    6092529.5779    1504633.4133
   -1132915.1474    6092529.5413    1504633.4028
   -1132915.1428    6092529.5012    1504633.3985
   -1132915.1674    6092529.4931    1504633.3760
   -1132915.1758    6092529.8359    1504633.6582
   -1132915.1868    6092529.8195    1504633.6599
   -1132915.1914    6092529.7970    1504633.6545
   -1132915.1938    6092529.7766    1504633.6624
   -1132915.2023    6092529.7517    1504633.6635
   -1132915.2091    6092529.7483    1504633.6684
   -1132915.2191    6092529.7391    1504633.6653
   -1132915.2264    6092529.7023    1504633.6755
   -1132915.2335    6092529.7063    1504633.6707
   -1132915.2430    6092529.6756    1504633.6753
   -1132915.2720    6092529.6876    1504633.7177
   -1132915.1822    6092530.6561    1504633.5257
   -1132915.1871    6092530.6620    1504633.5200
   -1132915.1954    6092530.6679    1504633.5226
   -1132915.1911    6092530.6652    1504633.5162
   -1132915.1976    6092530.6784    1504633.5163
   -1132915.1392    6092530.3624    1504633.2033
   -1132915.2590    6092530.9551    1504633.7944
   -1132915.2332    6092530.8506    1504633.6928
   -1132915.2242    6092530.8460    1504633.7103
   -1132915.2166    6092530.7951    1504633.6593
   -1132914.8961    6092530.3340    1504633.3283
   -1132914.9187    6092530.3302    1504633.2909
   -1132914.9311    6092530.3255    1504633.2717
   -1132914.9374    6092530.3094    1504633.2630
   -1132914.9689    6092530.3399    1504633.2491
   -1132914.9932    6092530.3592    1504633.2564
   -1132914.9953    6092530.3697    1504633.2626
   -1132915.0063    6092530.3687    1504633.2539
   -1132915.0349    6092530.4277    1504633.2900
   -1132915.0378    6092530.4397    1504633.3007
   -1132915.0232    6092530.4184    1504633.2937
   -1132915.0282    6092530.4369    1504633.2921
   -1132915.0428    6092530.4533    1504633.2986
   -1132915.0397    6092530.4782    1504633.3062
   -1132915.0473    6092530.4876    1504633.3183
   -1132915.0435    6092530.4850    1504633.3189
   -1132915.0406    6092530.4962    1504633.3327
   -1132915.0569    6092530.5071    1504633.3425
   -1132915.0547    6092530.5074    1504633.3527
   -1132915.0560    6092530.5077    1504633.3545
   -1132915.0647    6092530.5161    1504633.3586
   -1132915.0758    6092530.5293    1504633.3694
   -1132915.0954    6092530.5531    1504633.3766
   -1132915.1007    6092530.5481    1504633.3696
   -1132915.0985    6092530.5430    1504633.3704
   -1132915.1110    6092530.5288    1504633.3650
   -1132915.1110    6092530.5441    1504633.3624
   -1132915.1082    6092530.5409    1504633.3529
   -1132915.1019    6092530.5282    1504633.3529
   -1132915.1018    6092530.5329    1504633.3534
   -1132915.1005    6092530.5405    1504633.3487
   -1132915.0980    6092530.5345    1504633.3635
   -1132915.1054    6092530.5449    1504633.3766
   -1132915.1090    6092530.5429    1504633.3805
   -1132915.1117    6092530.5564    1504633.3859
   -1132915.1081    6092530.5427    1504633.3721
   -1132915.1101    6092530.5383    1504633.3693
   -1132915.1106    6092530.5373    1504633.3752
   -1132915.1179    6092530.5353    1504633.3827
   -1132915.1136    6092530.5366    1504633.3801
   -1132915.1138    6092530.5268    1504633.3817
   -1132915.1150    6092530.5151    1504633.3799
   -1132915.1128    6092530.5271    1504633.3876
   -1132915.1213    6092530.5317    1504633.3890
   -1132915.1154    6092530.5360    1504633.4043
   -1132915.1207    6092530.5388    1504633.4131
   -1132915.1218    6092530.5259    1504633.4177
   -1132915.1206    6092530.5362    1504633.4243
   -1132915.1265    6092530.5407    1504633.4257
   -1132915.1335    6092530.5372    1504633.4230
   -1132915.1330    6092530.5448    1504633.4185
   -1132915.1434    6092530.5519    1504633.4242
   -1132915.1456    6092530.5543    1504633.4217
   -1132915.1401    6092530.5595    1504633.4176
   -1132915.1419    6092530.5625    1504633.4316
   -1132915.1482    6092530.5688    1504633.4406
   -1132915.1501    6092530.5822    1504633.4494
   -1132915.1539    6092530.5788    1504633.4486
   -1132915.1532    6092530.5899    1504633.4414
   -1132915.1575    6092530.6017    1504633.4524
   -1132915.1571    6092530.5938    1504633.4519
   -1132915.1571    6092530.6120    1504633.4600
   -1132915.1682    6092530.6069    1504633.4678
   -1132915.1631    6092530.6089    1504633.4668
   -1132915.1582    6092530.5967    1504633.4548
   -1132915.1565    6092530.5937    1504633.4627
   -1132915.1542    6092530.5911    1504633.4638
   -1132915.1615    6092530.5880    1504633.4649
   -1132915.1557    6092530.6017    1504633.4647
   -1132915.1551    6092530.5892    1504633.4654
   -1132915.1577    6092530.5889    1504633.4727
   -1132915.1709    6092530.5977    1504633.4691
   -1132915.1642    6092530.5830    1504633.4595
   -1132915.1563    6092530.5831    1504633.4591
   -1132915.1587    6092530.5788    1504633.4653
   -1132915.1573    6092530.5622    1504633.4655
   -1132915.1566    6092530.5411    1504633.4548
   -1132915.1583    6092530.5466    1504633.4615
   -1132915.3521    6092530.5303    1504633.4297
   -1132915.3408    6092530.3661    1504633.2797
   -1132915.3714    6092530.7501    1504633.6574
   -1132915.3606    6092530.5690    1504633.4916
   -1132915.3637    6092530.5947    1504633.5125
   -1132915.3694    6092530.6199    1504633.5410
   -1132915.3588    6092530.5935    1504633.5220
   -1132915.3644    6092530.5873    1504633.5123
   -1132915.3565    6092530.5726    1504633.5010
   -1132915.3566    6092530.5776    1504633.5176
